ID,type,q_place_1,q_place_type_1,parent_hierarchy1,hierarchy_types_1,places 2,places 3,places 4,places 5,places 6,places 7
2022.nationals.5.3.lightning.1.1,lightning,Soviet Union,former primary political entities,Asia,continents,,,,,,
2022.nationals.5.3.lightning.1.2,,Wisconsin,states (political divisions),North and Central America,continents,,,,,,
2022.nationals.5.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2022.nationals.5.3.lightning.1.7,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2022.nationals.5.3.lightning.3.2,,Alamūt,,Asia,continents,,,,,,
2022.nationals.5.3.lightning.3.5,,Jerusalem,cities,Asia,continents,,,,,,
2022.nationals.5.3.lightning.3.8,,Jerusalem,cities,Asia,continents,,,,,,
2022.nationals.5.4.3,,Málaga,industrial centers (inhabited places),Europe,continents,,,,,,
2022.nationals.5.4.4,tossup,United States,primary political entities,North and Central America,continents,China,the Boxer Rebellion,,,,
2022.nationals.5.4.6,,Newfoundland,,North and Central America,continents,,,,,,
2022.nationals.5.4.7,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2022.nationals.5.4.8,tossup,France,primary political entities,Europe,continents,,,,,,
2022.nationals.5.extra.1,,Harlan,,North and Central America,continents,,,,,,
