ID,type,q_place_1,q_place_type_1,parent_hierarchy1,hierarchy_types_1,places 2,places 3,places 4,places 5,places 6,places 7
2015.nationals.4.2.6,,Greenwich Village,,North and Central America,continents,,,,,,
2015.nationals.4.3.lightning.1.1,,District of Columbia,national districts,North and Central America,continents,,,,,,
2015.nationals.4.3.lightning.1.2,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.3.lightning.1.8,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.3.lightning.2.5,,Great Britain,,Europe,continents,,,,,,
2015.nationals.4.3.lightning.2.6,,Bratislava,national capitals,Europe,continents,,,,,,
2015.nationals.4.3.lightning.2.8,lightning,Italy,primary political entities,Europe,continents,,,,,,
2015.nationals.4.3.lightning.3.8,,Hiroshima,educational centers (buildings),Asia,continents,,,,,,
2015.nationals.4.4.1,tossup,Malta,primary political entities,Europe,continents,,,,,,
2015.nationals.4.4.2,tossup,United States,primary political entities,North and Central America,continents,the Republic of Texas,,,,,
2015.nationals.4.4.6,tossup,Spain,primary political entities,Europe,continents,,,,,,
2015.nationals.5.1.1,,Hughenden,,Europe,continents,,,,,,
2015.nationals.5.1.2,,Subang,,Asia,continents,,,,,,
2015.nationals.5.1.4,,Colchester,manufacturing centers,Europe,continents,,,,,,
2015.nationals.5.2.1,tossup + bonus,Chagan,rivers,Asia,continents,,,,,,
2015.nationals.5.2.2,tossup + bonus,Sweden,primary political entities,Europe,continents,King Hrothgar,,,,,
2015.nationals.5.2.3,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.5.3.lightning.1.7,,Boston,cities,North and Central America,continents,,,,,,
2015.nationals.5.3.lightning.2.1,,Tenochtitlan,Aztec (culture or style),North and Central America,continents,,,,,,
2015.nationals.5.3.lightning.2.6,,Tenochtitlan,Aztec (culture or style),North and Central America,continents,,,,,,
