"","ID","places","lattitude","longitude"
"729","2021.c.3.1.1","New York City",40.7127281,-74.0060152
"730","2021.c.3.1.2","Acacus",51.5197046,-0.155575251022898
"731","2021.c.3.1.3","Denmark",55.670249,10.3333283
"732","2021.c.3.1.3","England",52.5310214,-1.2649062
"733","2021.c.3.1.3","Powhatan",37.5531622,-77.9112655
"734","2021.c.3.1.5","Finland",63.2467777,25.9209164
"735","2021.c.3.1.5","Nazi Germany's",NA,NA
"736","2021.c.3.1.6","South Georgia",-54.43393195,-36.4946518633466
"737","2021.c.3.1.6","UK",6.3110548,20.5447525
"738","2021.c.3.1.6","Argentina",-34.9964963,-64.9672817
"739","2021.c.3.1.7","U.S.",51.4376108,7.3303862
"740","2021.c.3.1.7","England",52.5310214,-1.2649062
"741","2021.c.3.1.8","New York",40.7127281,-74.0060152
"742","2021.c.3.1.10","Brazil",-10.3333333,-53.2
"743","2021.c.3.1.10","Spain",39.3260685,-4.8379791
"744","2021.c.3.1.10","Germany",51.1638175,10.4478313
"745","2021.c.3.2.1","Dorchester Heights",-32.9480556,27.9038889
"746","2021.c.3.2.1","Washington",38.8950368,-77.0365427
"747","2021.c.3.2.2","Spain",39.3260685,-4.8379791
"748","2021.c.3.2.2","U.S.",51.4376108,7.3303862
"749","2021.c.3.2.2","Havana Harbor",44.384111,-68.20313
"750","2021.c.3.2.3","UK",6.3110548,20.5447525
"751","2021.c.3.2.5","Greece",38.9953683,21.9877132
"752","2021.c.3.2.5","Chaeronea",38.4949048,22.84833245
"753","2021.c.3.2.6","Washington",38.8950368,-77.0365427
"754","2021.c.3.2.7","Helios",47.6107109,-122.33974380895
"755","2021.c.3.2.7","Tartarus",-41.9380197,146.033523234078
"756","2021.c.3.2.8","Shugendo",NA,NA
"757","2021.c.3.2.8","Osaka",34.6937569,135.5014539
"758","2021.c.3.2.8","Nagasaki",33.1154683,129.7874339
"759","2021.c.3.3.lightning.1.2","Trail",49.0945296,-117.7097659
"760","2021.c.3.3.lightning.1.3","Utah",39.4225192,-111.714358
"761","2021.c.3.3.lightning.1.5","California",36.7014631,-118.755997
"762","2021.c.3.3.lightning.1.5","New Mexico",34.5802074,-105.996047
"763","2021.c.3.3.lightning.1.5","Arizona",34.395342,-111.763275
"764","2021.c.3.3.lightning.1.6","U.S.",51.4376108,7.3303862
"765","2021.c.3.3.lightning.1.8","U.S.",51.4376108,7.3303862
"766","2021.c.3.3.lightning.2.1","the Soviet Union",44.423953,34.0547074
"767","2021.c.3.3.lightning.2.1","Bolsheviks",53.8511458,27.5684639
"768","2021.c.3.3.lightning.2.2","Yekaterinburg",56.839104,60.60825
"769","2021.c.3.3.lightning.2.3","Russia",64.6863136,97.7453061
"770","2021.c.3.3.lightning.2.4","St. Petersburg",59.9606739,30.1586551
"771","2021.c.3.3.lightning.2.4","Bolsheviks",53.8511458,27.5684639
"772","2021.c.3.3.lightning.2.6","Bolsheviks",53.8511458,27.5684639
"773","2021.c.3.3.lightning.2.8","U.S.",51.4376108,7.3303862
"774","2021.c.3.3.lightning.3.3","Southampton County",36.6959378,-77.1586002
"775","2021.c.3.3.lightning.3.3","Virginia",37.1232245,-78.4927721
"776","2021.c.3.3.lightning.3.4","Florida",27.7567667,-81.4639835
"777","2021.c.3.3.lightning.3.4","Muskogee",35.6630196,-95.3927706
"778","2021.c.3.3.lightning.3.6","Jamaica",18.1850507,-77.3947693
"779","2021.c.3.3.lightning.3.7","Florida",27.7567667,-81.4639835
"780","2021.c.3.4.1","Myanmar",17.1750495,95.9999652
"781","2021.c.3.4.2","U.S.",51.4376108,7.3303862
"782","2021.c.3.4.2","Missouri",38.7604815,-92.5617875
"783","2021.c.3.4.3","India",22.3511148,78.6677428
"784","2021.c.3.4.3","Algarve",-30.0344297,-51.0790679
"785","2021.c.3.4.3","Porto",41.1494512,-8.6107884
"786","2021.c.3.4.3","Lisbon",38.7077507,-9.1365919
"787","2021.c.3.4.6","Romania",45.9852129,24.6859225
"788","2021.c.3.4.6","Greece",38.9953683,21.9877132
"789","2021.c.3.4.6","Bulgaria",42.6073975,25.4856617
"790","2021.c.3.4.6","Austria",47.59397,14.12456
"791","2021.c.3.4.6","Hungary",47.1817585,19.5060937
"792","2021.c.3.4.6","Bosnia  ",44.3053476,17.5961467
"793","2021.c.3.4.6","Yugoslavia",23.04123655,-81.526141947349
"794","2021.c.3.4.7","Ptolemy",-68.5494632,-65.9516146
"795","2021.c.3.4.7","Zoroaster",40.117194,-85.5972923
"796","2021.c.3.4.8","Tatyana",30.6395552,77.6377952
"797","2021.c.3.extra.1","England",52.5310214,-1.2649062
"798","2021.c.3.extra.1","UK",6.3110548,20.5447525
"799","2021.c.4.1.2","San Juan",18.38423905,-66.0534399736473
"800","2021.c.4.1.2","the United States",47.8287874669091,-122.598947831237
"801","2021.c.4.1.2","U.S.",51.4376108,7.3303862
"802","2021.c.4.1.3","Hesse",50.6080651,9.0284647
"803","2021.c.4.1.3","Germania",51.1638175,10.4478313
