ID,type,q_place_1,q_place_type_1,parent_hierarchy_1,hierarchy_types_1,q_place_2,q_place_type_2,parent_hierarchy_2,hierarchy_types_2,q_place_3plus,q_place_type_3,parent_hierarchy_3,hierarchy_types_3
2015.nationals.4.4.6,,,independent political entities,,,,,,,,,,
2015.nationals.4.4.6,,,independent sovereign nations,,,,,,,,,,
2015.nationals.4.4.6,,,constitutional monarchies,,,,,,,,,,
2015.nationals.4.4.6,,,monarchies,,,,,,,,,,
2015.nationals.4.4.7,tossup,,,,,,,,,,,,
2015.nationals.4.4.8,tossup,,,,,,,,,,,,
2015.nationals.4.extra.1,tossup,,,,,,,,,,,,
2015.nationals.5.1.1,tossup,Hughenden,inhabited places,Buckinghamshire,,Coningsby,inhabited places,Lincolnshire,,India,primary political entities,Asia,continents
2015.nationals.5.1.1,,,,,,,villages,England,,,republics,World,areas (geography)
2015.nationals.5.1.1,,,,,,,,United Kingdom,primary political entities,,nations,,facets (controlled vocabulary)
2015.nationals.5.1.1,,,,,,,,,nations,,independent political entities,,
2015.nationals.5.1.1,,,,,,,,,independent political entities,,independent sovereign nations,,
2015.nationals.5.1.1,,,,,,,,,independent sovereign nations,,controlled regions,,
2015.nationals.5.1.1,,,,,,,,,constitutional monarchies,,,,
2015.nationals.5.1.1,,,,,,,,Europe,continents,,,,
2015.nationals.5.1.1,,,,,,,,World,areas (geography),,,,
2015.nationals.5.1.1,,,,,,,,,facets (controlled vocabulary),,,,
2015.nationals.5.1.1,,Hughenden,,England,,,,,,,,,
2015.nationals.5.1.1,,,,United Kingdom,primary political entities,,,,,,,,
2015.nationals.5.1.1,,,,,nations,,,,,,,,
2015.nationals.5.1.1,,,,,independent political entities,,,,,,,,
2015.nationals.5.1.1,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.1.1,,,,,constitutional monarchies,,,,,,,,
2015.nationals.5.1.1,,,,Europe,continents,,,,,,,,
2015.nationals.5.1.1,,,,World,areas (geography),,,,,,,,
2015.nationals.5.1.1,,,,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.1.2,tossup,Subang,inhabited places,Jawa Barat,,,,,,,,,
2015.nationals.5.1.2,,,,Indonesia,primary political entities,,,,,,,,
2015.nationals.5.1.2,,,,,former territories/colonies/dependent states,,,,,,,,
2015.nationals.5.1.2,,,,,republics,,,,,,,,
2015.nationals.5.1.2,,,,,nations,,,,,,,,
2015.nationals.5.1.2,,,,,independent political entities,,,,,,,,
2015.nationals.5.1.2,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.1.2,,,,,controlled regions,,,,,,,,
2015.nationals.5.1.2,,,,Asia,continents,,,,,,,,
2015.nationals.5.1.2,,,,World,areas (geography),,,,,,,,
2015.nationals.5.1.2,,,,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.2,,,,,,,,,,,,,
2015.nationals.5.1.3,tossup,,,,,,,,,,,,
2015.nationals.5.1.4,tossup,Colchester,inhabited places,Essex,,,,,,,,,
2015.nationals.5.1.4,,,capitals (seats of government),England,,,,,,,,,
2015.nationals.5.1.4,,,cities,United Kingdom,primary political entities,,,,,,,,
2015.nationals.5.1.4,,,,,nations,,,,,,,,
2015.nationals.5.1.4,,,,,independent political entities,,,,,,,,
2015.nationals.5.1.4,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.1.4,,,,,constitutional monarchies,,,,,,,,
2015.nationals.5.1.4,,,manufacturing centers,Europe,continents,,,,,,,,
2015.nationals.5.1.4,,,industrial centers (inhabited places),World,areas (geography),,,,,,,,
2015.nationals.5.1.4,,,trade centers,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.1.5,tossup,,,,,,,,,,,,
2015.nationals.5.1.6,tossup,,,,,,,,,,,,
2015.nationals.5.1.7,tossup,,,,,,,,,,,,
2015.nationals.5.1.8,tossup,,,,,,,,,,,,
2015.nationals.5.2.1,tossup + bonus,Chagan,rivers,Asia,continents,,,,,,,,
2015.nationals.5.2.1,,,,World,areas (geography),,,,,,,,
2015.nationals.5.2.1,,,,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.2.2,tossup + bonus,Sweden,primary political entities,Europe,continents,,,,,,,,
2015.nationals.5.2.2,,,nations,World,areas (geography),,,,,,,,
2015.nationals.5.2.2,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.2.2,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.2.2,,,constitutional monarchies,,,,,,,,,,
2015.nationals.5.2.2,,,kingdoms (political administrative bodies),,,,,,,,,,
2015.nationals.5.2.3,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,,,
2015.nationals.5.2.3,,,nations,World,areas (geography),,,,,,,,
2015.nationals.5.2.3,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.2.3,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.2.4,tossup + bonus,,,,,,,,,,,,
2015.nationals.5.2.5,tossup + bonus,,,,,,,,,,,,
2015.nationals.5.2.6,tossup + bonus,,,,,,,,,,,,
2015.nationals.5.2.7,tossup + bonus,,,,,,,,,,,,
2015.nationals.5.2.8,tossup + bonus,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.1,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.2,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.3,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.4,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.5,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.6,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.1.7,lightning,Boston,inhabited places,Suffolk,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,county seats,Massachusetts,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,capitals (seats of government),United States,primary political entities,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,,,nations,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,,,independent political entities,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,cities,North and Central America,continents,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,manufacturing centers,World,areas (geography),,,,,,,,
2015.nationals.5.3.lightning.1.7,,,naval bases,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.3.lightning.1.7,,,educational centers (buildings),,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,seaports,,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,state capitals,,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,cultural centers (buildings),,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,financial centers,,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,industrial centers (inhabited places),,,,,,,,,,
2015.nationals.5.3.lightning.1.7,,,tourist centers,,,,,,,,,,
2015.nationals.5.3.lightning.1.8,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,lightning,Tenochtitlan,former communities,Mexico City,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,city-states,Distrito Federal,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,inhabited places,Mexico,primary political entities,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,republics,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,nations,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,independent political entities,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,Aztec (culture or style),North and Central America,continents,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,World,areas (geography),,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.1,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.2,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.3,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.4,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.5,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,lightning,Tenochtitlan,former communities,Mexico City,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,city-states,Distrito Federal,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,inhabited places,Mexico,primary political entities,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,republics,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,nations,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,independent political entities,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,Aztec (culture or style),North and Central America,continents,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,World,areas (geography),,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.6,,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.7,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.2.8,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.1,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.2,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.3,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.4,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.5,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.6,lightning,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.7,lightning,Lima,inhabited places,"Lima, Región de",,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,cities,Peru,primary political entities,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,,,republics,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,,,nations,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,,,independent political entities,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,national capitals,South America,continents,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,educational centers (buildings),World,areas (geography),,,,,,,,
2015.nationals.5.3.lightning.3.7,,,commercial centers (inhabited places),,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.3.lightning.3.7,,,judicial centers,,,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,regional capitals,,,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,cultural centers (buildings),,,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,industrial centers (inhabited places),,,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.7,,,,,,,,,,,,,
2015.nationals.5.3.lightning.3.8,lightning,,,,,,,,,,,,
2015.nationals.5.4.1,tossup,Baltimore,inhabited places,Baltimore Independent City,,Maryland,first level subdivisions (political entities),United States,primary political entities,,,,
2015.nationals.5.4.1,,,,,,,states (political divisions),,nations,,,,
2015.nationals.5.4.1,,,,,,,,,independent political entities,,,,
2015.nationals.5.4.1,,,,,,,,,independent sovereign nations,,,,
2015.nationals.5.4.1,,,,,,,,North and Central America,continents,,,,
2015.nationals.5.4.1,,,,,,,,World,areas (geography),,,,
2015.nationals.5.4.1,,,,,,,,,facets (controlled vocabulary),,,,
2015.nationals.5.4.1,,Baltimore,administrative centers,Maryland,,,,,,,,,
2015.nationals.5.4.1,,,battlefields,United States,primary political entities,,,,,,,,
2015.nationals.5.4.1,,,,,nations,,,,,,,,
2015.nationals.5.4.1,,,,,independent political entities,,,,,,,,
2015.nationals.5.4.1,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.4.1,,,cities,North and Central America,continents,,,,,,,,
2015.nationals.5.4.1,,,manufacturing centers,World,areas (geography),,,,,,,,
2015.nationals.5.4.1,,,commercial centers (inhabited places),,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.1,,,seaports,,,,,,,,,,
2015.nationals.5.4.1,,,episcopal sees,,,,,,,,,,
2015.nationals.5.4.1,,,cultural centers (buildings),,,,,,,,,,
2015.nationals.5.4.1,,,political centers,,,,,,,,,,
2015.nationals.5.4.1,,,transportation centers (inhabited places),,,,,,,,,,
2015.nationals.5.4.1,,,shipbuilding centers,,,,,,,,,,
2015.nationals.5.4.1,,,sporting centers (inhabited places),,,,,,,,,,
2015.nationals.5.4.1,,,university centers (inhabited places),,,,,,,,,,
2015.nationals.5.4.2,tossup,New Zealand,primary political entities,Oceania,continents,,,,,,,,
2015.nationals.5.4.2,,,,,areas (geography),,,,,,,,
2015.nationals.5.4.2,,,,,general regions,,,,,,,,
2015.nationals.5.4.2,,,colonies,World,areas (geography),,,,,,,,
2015.nationals.5.4.2,,,inhabited regions,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.2,,,nations,,,,,,,,,,
2015.nationals.5.4.2,,,independent political entities,,,,,,,,,,
2015.nationals.5.4.2,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.4.3,tossup,Germany,primary political entities,Europe,continents,Cambridge,inhabited places,Cambridgeshire,,,,,
2015.nationals.5.4.3,,,,,,,county seats,England,,,,,
2015.nationals.5.4.3,,,,,,,cities,United Kingdom,primary political entities,,,,
2015.nationals.5.4.3,,,,,,,regional capitals,,nations,,,,
2015.nationals.5.4.3,,,,,,,cultural centers (buildings),,independent political entities,,,,
2015.nationals.5.4.3,,,,,,,university centers (inhabited places),,independent sovereign nations,,,,
2015.nationals.5.4.3,,,,,,,,,constitutional monarchies,,,,
2015.nationals.5.4.3,,,,,,,,Europe,continents,,,,
2015.nationals.5.4.3,,,,,,,,World,areas (geography),,,,
2015.nationals.5.4.3,,,,,,,,,facets (controlled vocabulary),,,,
2015.nationals.5.4.3,,Germany,republics,World,areas (geography),,,,,,,,
2015.nationals.5.4.3,,,nations,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.3,,,independent political entities,,,,,,,,,,
2015.nationals.5.4.3,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.4.4,tossup,New Jersey,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2015.nationals.5.4.4,,,,,nations,,,,,,,,
2015.nationals.5.4.4,,,,,independent political entities,,,,,,,,
2015.nationals.5.4.4,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.4.4,,,states (political divisions),North and Central America,continents,,,,,,,,
2015.nationals.5.4.4,,,,World,areas (geography),,,,,,,,
2015.nationals.5.4.4,,,,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.4,,,,,,,,,,,,,
2015.nationals.5.4.4,,,,,,,,,,,,,
2015.nationals.5.4.4,,,,,,,,,,,,,
2015.nationals.5.4.5,tossup,,,,,,,,,,,,
2015.nationals.5.4.6,tossup,India,primary political entities,Asia,continents,,,,,,,,
2015.nationals.5.4.6,,,republics,World,areas (geography),,,,,,,,
2015.nationals.5.4.6,,,nations,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.6,,,independent political entities,,,,,,,,,,
2015.nationals.5.4.6,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.4.6,,,controlled regions,,,,,,,,,,
2015.nationals.5.4.7,tossup,South Africa,primary political entities,Africa,continents,Oslo,inhabited places,Oslo,,Stockholm,inhabited places,Stockholm,
2015.nationals.5.4.7,,,,,,,county seats,Norway,primary political entities,,county seats,Sweden,primary political entities
2015.nationals.5.4.7,,,,,,,,,,,,,nations
2015.nationals.5.4.7,,,,,,,,,,,,,independent political entities
2015.nationals.5.4.7,,,,,,,,,,,,,independent sovereign nations
2015.nationals.5.4.7,,,,,,,,,,,,,constitutional monarchies
2015.nationals.5.4.7,,,,,,,,,,,,,kingdoms (political administrative bodies)
2015.nationals.5.4.7,,,,,,,cities,,nations,,cities,Europe,continents
2015.nationals.5.4.7,,,,,,,national capitals,,independent political entities,,national capitals,World,areas (geography)
2015.nationals.5.4.7,,,,,,,industrial centers (inhabited places),,independent sovereign nations,,educational centers (buildings),,facets (controlled vocabulary)
2015.nationals.5.4.7,,,,,,,transportation centers (inhabited places),,constitutional monarchies,,cultural centers (buildings),,
2015.nationals.5.4.7,,,,,,,ports (settlements),Europe,continents,,industrial centers (inhabited places),,
2015.nationals.5.4.7,,,,,,,,World,areas (geography),,market centers (inhabited places),,
2015.nationals.5.4.7,,,,,,,,,facets (controlled vocabulary),,ports (settlements),,
2015.nationals.5.4.7,,South Africa,,Africa,inhabited places,,,,,,,,
2015.nationals.5.4.7,,,republics,World,areas (geography),,,,,,,,
2015.nationals.5.4.7,,,nations,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.7,,,independent political entities,,,,,,,,,,
2015.nationals.5.4.7,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.4.8,tossup,United States,primary political entities,North and Central America,continents,,,,,,,,
2015.nationals.5.4.8,,,nations,World,areas (geography),,,,,,,,
2015.nationals.5.4.8,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.4.8,,,independent sovereign nations,,,,,,,,,,
2015.nationals.5.extra.1,tossup,San Antonio,inhabited places,Bexar,,,,,,,,,
2015.nationals.5.extra.1,,,county seats,Texas,,,,,,,,,
2015.nationals.5.extra.1,,,cities,United States,primary political entities,,,,,,,,
2015.nationals.5.extra.1,,,,,nations,,,,,,,,
2015.nationals.5.extra.1,,,,,independent political entities,,,,,,,,
2015.nationals.5.extra.1,,,,,independent sovereign nations,,,,,,,,
2015.nationals.5.extra.1,,,manufacturing centers,North and Central America,continents,,,,,,,,
2015.nationals.5.extra.1,,,educational centers (buildings),World,areas (geography),,,,,,,,
2015.nationals.5.extra.1,,,cultural centers (buildings),,facets (controlled vocabulary),,,,,,,,
2015.nationals.5.extra.1,,,industrial centers (inhabited places),,,,,,,,,,
2021.c.1.1.1,tossup,,,,,Great Britain,islands (landforms),United Kingdom,primary political entities,,,,
2021.c.1.1.1,,,,,,,,,nations,,,,
2021.c.1.1.1,,,,,,,,,independent political entities,,,,
2021.c.1.1.1,,,,,,,,,independent sovereign nations,,,,
2021.c.1.1.1,,,,,,,,,constitutional monarchies,,,,
2021.c.1.1.1,,,,,,,,Europe,continents,,,,
2021.c.1.1.1,,,,,,,,World,areas (geography),,,,
2021.c.1.1.1,,,,,,,,,facets (controlled vocabulary),,,,
2021.c.1.1.2,tossup,,,,,,,,,,,,
2021.c.1.1.3,tossup,,,,,,,,,,,,
2021.c.1.1.4,tossup,,,,,,,,,,,,
2021.c.1.1.5,tossup,United States,primary political entities,North and Central America,continents,,,,,United States,primary political entities,North and Central America,continents
2021.c.1.1.5,,,,,,,,,,,nations,World,areas (geography)
2021.c.1.1.5,,,,,,,,,,,independent political entities,,facets (controlled vocabulary)
2021.c.1.1.5,,,,,,,,,,,independent sovereign nations,,
2021.c.1.1.5,,United States,nations,World,areas (geography),,,,,Louisiana,first level subdivisions (political entities),United States,primary political entities
2021.c.1.1.5,,,,,,,,,,,,,nations
2021.c.1.1.5,,,,,,,,,,,,,independent political entities
2021.c.1.1.5,,,,,,,,,,,,,independent sovereign nations
2021.c.1.1.5,,,,,,,,,,,states (political divisions),North and Central America,continents
2021.c.1.1.5,,,,,,,,,,,,World,areas (geography)
2021.c.1.1.5,,,,,,,,,,,,,facets (controlled vocabulary)
2021.c.1.1.5,,United States,independent political entities,World,facets (controlled vocabulary),,,,,United States,primary political entities,North and Central America,continents
2021.c.1.1.5,,,independent sovereign nations,,,,,,,,nations,World,areas (geography)
2021.c.1.1.5,,,,,,,,,,,independent political entities,,facets (controlled vocabulary)
2021.c.1.1.5,,,,,,,,,,,independent sovereign nations,,
2021.c.1.1.6,tossup,,,,,Āgra,inhabited places,Uttar Pradesh,,India,primary political entities,Asia,continents
2021.c.1.1.6,,,,,,,administrative centers,India,primary political entities,,republics,World,areas (geography)
2021.c.1.1.6,,,,,,,capitals (seats of government),,republics,,nations,,facets (controlled vocabulary)
2021.c.1.1.6,,,,,,,cities,,nations,,independent political entities,,
2021.c.1.1.6,,,,,,,educational centers (buildings),,independent political entities,,independent sovereign nations,,
2021.c.1.1.6,,,,,,,commercial centers (inhabited places),,independent sovereign nations,,controlled regions,,
2021.c.1.1.6,,,,,,,provincial capitals,,controlled regions,,,,
2021.c.1.1.6,,,,,,,industrial centers (inhabited places),Asia,continents,,,,
2021.c.1.1.6,,,,,,,tourist centers,World,areas (geography),,,,
2021.c.1.1.6,,,,,,,,,facets (controlled vocabulary),,,,
2021.c.1.1.7,tossup,Trabzon,inhabited places,Trabzon,,,,,,,,,
2021.c.1.1.7,,,cities,Turkey,primary political entities,,,,,,,,
2021.c.1.1.7,,,,,republics,,,,,,,,
2021.c.1.1.7,,,,,nations,,,,,,,,
2021.c.1.1.7,,,,,independent political entities,,,,,,,,
2021.c.1.1.7,,,,,independent sovereign nations,,,,,,,,
2021.c.1.1.7,,,,,sultanates (administrative bodies),,,,,,,,
2021.c.1.1.7,,,educational centers (buildings),Asia,continents,,,,,,,,
2021.c.1.1.7,,,provincial capitals,World,areas (geography),,,,,,,,
2021.c.1.1.7,,,regional capitals,,facets (controlled vocabulary),,,,,,,,
2021.c.1.1.7,,,ports (settlements),,,,,,,,,,
2021.c.1.1.7,,,,,,,,,,,,,
2021.c.1.1.7,,,,,,,,,,,,,
2021.c.1.1.7,,,,,,,,,,,,,
2021.c.1.1.7,,,,,,,,,,,,,
2021.c.1.1.7,,,,,,,,,,,,,
2021.c.1.1.8,tossup,France,primary political entities,Europe,continents,Argentina,primary political entities,South America,continents,,,,
2021.c.1.1.8,,,,,,,colonies,World,areas (geography),,,,
2021.c.1.1.8,,,,,,,republics,,facets (controlled vocabulary),,,,
2021.c.1.1.8,,,,,,,nations,,,,,,
2021.c.1.1.8,,,,,,,independent political entities,,,,,,
2021.c.1.1.8,,,,,,,independent sovereign nations,,,,,,
2021.c.1.1.8,,,,,,,dictatorships,,,,,,
2021.c.1.1.8,,France,republics,World,areas (geography),,,,,,,,
2021.c.1.1.8,,,empires (sovereign states),,facets (controlled vocabulary),,,,,,,,
2021.c.1.1.8,,,nations,,,,,,,,,,
2021.c.1.1.8,,,independent political entities,,,,,,,,,,
2021.c.1.1.8,,,independent sovereign nations,,,,,,,,,,
2021.c.1.1.8,,,monarchies,,,,,,,,,,
2021.c.1.1.9,tossup,,,,,,,,,,,,
2021.c.1.1.10,tossup,Spain,primary political entities,Europe,continents,"Guadalquivir, Río",streams,Cádiz,,,,,
2021.c.1.1.10,,,,,,,,Andalusia,,Britannia,first level subdivisions (political entities),Roman Empire,former primary political entities
2021.c.1.1.10,,,,,,,,,,,,,historical regions
2021.c.1.1.10,,,,,,,,,,,,,empires (sovereign states)
2021.c.1.1.10,,,,,,,,,,,,,political entities
2021.c.1.1.10,,,,,,,,,,,former administrative divisions,World,areas (geography)
2021.c.1.1.10,,,,,,,,,,,provinces,,facets (controlled vocabulary)
2021.c.1.1.10,,,,,,,,Spain,primary political entities,Alesia,deserted settlements,Bourgogne-Franche-Comté,
2021.c.1.1.10,,,,,,,,,inhabited regions,,archaeological sites,France,primary political entities
2021.c.1.1.10,,,,,,,,,,,,,republics
2021.c.1.1.10,,,,,,,,,,,,,empires (sovereign states)
2021.c.1.1.10,,,,,,,,,,,,,nations
2021.c.1.1.10,,,,,,,,,,,,,independent political entities
2021.c.1.1.10,,,,,,,,,,,,,independent sovereign nations
2021.c.1.1.10,,,,,,,,,,,,,monarchies
2021.c.1.1.10,,,,,,,,,republics,,fortified settlements,Europe,continents
2021.c.1.1.10,,,,,,,,,nations,,,World,areas (geography)
2021.c.1.1.10,,,,,,,,,independent political entities,,,,facets (controlled vocabulary)
2021.c.1.1.10,,,,,,,,,independent sovereign nations,,,,
2021.c.1.1.10,,,,,,,,,constitutional monarchies,,,,
2021.c.1.1.10,,,,,,,,,monarchies,,,,
2021.c.1.1.10,,,,,,,,Europe,continents,,,,
2021.c.1.1.10,,,,,,,,World,areas (geography),,,,
2021.c.1.1.10,,,,,,,,,facets (controlled vocabulary),,,,
2021.c.1.1.10,,Spain,inhabited regions,World,areas (geography),,,,,,,,
2021.c.1.1.10,,,republics,,facets (controlled vocabulary),,,,,,,,
2021.c.1.1.10,,,nations,,,,,,,,,,
2021.c.1.1.10,,,independent political entities,,,,,,,,,,
2021.c.1.1.10,,,independent sovereign nations,,,,,,,,,,
2021.c.1.1.10,,,constitutional monarchies,,,,,,,,,,
2021.c.1.1.10,,,monarchies,,,,,,,,,,
2021.c.1.2.1,tossup + bonus,Germany,primary political entities,Europe,continents,North Africa,areas (geography),Africa,continents,Sicily,first level subdivisions (political entities),Italy,primary political entities
2021.c.1.2.1,,,,,,,,,,,,,inhabited regions
2021.c.1.2.1,,,,,,,,,,,,,republics
2021.c.1.2.1,,,,,,,,,,,,,nations
2021.c.1.2.1,,,,,,,,,,,,,independent political entities
2021.c.1.2.1,,,,,,,,,,,,,independent sovereign nations
2021.c.1.2.1,,,,,,,,,,,,,dictatorships
2021.c.1.2.1,,,,,,,,,,,,,kingdoms (political administrative bodies)
2021.c.1.2.1,,,,,,,,,,,regions (geographic),Europe,continents
2021.c.1.2.1,,,,,,,,,,,regions (administrative divisions),World,areas (geography)
2021.c.1.2.1,,,,,,,,,,,,,facets (controlled vocabulary)
2021.c.1.2.1,,,,,,,general regions,,inhabited places,Italy,primary political entities,Europe,continents
2021.c.1.2.1,,,,,,,,World,areas (geography),,inhabited regions,World,areas (geography)
2021.c.1.2.1,,,,,,,,,facets (controlled vocabulary),,republics,,facets (controlled vocabulary)
2021.c.1.2.1,,,,,,,,,,,nations,,
2021.c.1.2.1,,Germany,republics,World,areas (geography),,,,,,independent political entities,,
2021.c.1.2.1,,,nations,,facets (controlled vocabulary),,,,,,independent sovereign nations,,
2021.c.1.2.1,,,independent political entities,,,,,,,,dictatorships,,
2021.c.1.2.1,,,independent sovereign nations,,,,,,,,kingdoms (political administrative bodies),,
