ID,type,q_place_1,q_place_type_1,parent_hierarchy_1,hierarchy_types_1,q_place_2,q_place_type_2,parent_hierarchy_2,hierarchy_types_2,q_place_3plus,q_place_type_3,parent_hierarchy_3,hierarchy_types_3
2014.c.1.3.lightning.1.2,,,,,independent sovereign nations,,,,,,,,
2014.c.1.3.lightning.1.2,,,,,dictatorships,,,,,,,,
2014.c.1.3.lightning.1.2,,,,,kingdoms (political administrative bodies),,,,,,,,
2014.c.1.3.lightning.1.2,,,cities,Europe,continents,,,,,,,,
2014.c.1.3.lightning.1.2,,,seaports,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.1.2,,,provincial capitals,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.1.2,,,fishing communities,,,,,,,,,,
2014.c.1.3.lightning.1.2,,,"Corinthian (culture or style, general)",,,,,,,,,,
2014.c.1.3.lightning.1.2,,,World Heritage Sites,,,,,,,,,,
2014.c.1.3.lightning.1.2,,,tourist centers,,,,,,,,,,
2014.c.1.3.lightning.1.3,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.1.4,lightning,Athens,city-states,Region of Attica,,,,,,,,,
2014.c.1.3.lightning.1.4,,,inhabited places,Greece,primary political entities,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,republics,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,nations,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,independent sovereign nations,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,constitutional monarchies,,,,,,,,
2014.c.1.3.lightning.1.4,,,cities,Europe,continents,,,,,,,,
2014.c.1.3.lightning.1.4,,,national capitals,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.1.4,,,commercial centers (inhabited places),,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.1.4,,,cultural centers (buildings),,,,,,,,,,
2014.c.1.3.lightning.1.4,,,transportation centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,,,,,,,,,
2014.c.1.3.lightning.1.4,,,,,,,,,,,,,
2014.c.1.3.lightning.1.5,lightning,Athens,city-states,Region of Attica,,,,,,,,,
2014.c.1.3.lightning.1.5,,,inhabited places,Greece,primary political entities,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,republics,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,nations,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,independent sovereign nations,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,constitutional monarchies,,,,,,,,
2014.c.1.3.lightning.1.5,,,cities,Europe,continents,,,,,,,,
2014.c.1.3.lightning.1.5,,,national capitals,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.1.5,,,commercial centers (inhabited places),,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.1.5,,,cultural centers (buildings),,,,,,,,,,
2014.c.1.3.lightning.1.5,,,transportation centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,,,,,,,,,
2014.c.1.3.lightning.1.5,,,,,,,,,,,,,
2014.c.1.3.lightning.1.6,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,lightning,Lesbos Island,ancient sites,Lésvos,,,,,,,,,
2014.c.1.3.lightning.1.7,,,Bronze Age,Aegean Islands,,,,,,,,,
2014.c.1.3.lightning.1.7,,,islands (landforms),Greece,primary political entities,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,republics,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,nations,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,independent sovereign nations,,,,,,,,
